"TYPE";"TIME";"LAT";"LON";"ALT";"BEARING";"ACCURACY";"SPEED";"NAME";"DESCRIPTION";"SEGMENT"
"TRACK";;;;;;;;"Coleta3";"A
";
"P";"2011-12-07T18:17:06Z";"-3.09004";"-59.962817";"91.69999694824219";"0.0";"32";"0";;;"0"
"P";"2011-12-07T18:17:09Z";"-3.090091";"-59.962801";"96.0";"0.0";"12";"0";;;"0"
"P";"2011-12-07T18:17:13Z";"-3.090154";"-59.962818";"90.9000015258789";"211.3000030517578";"6";"1.1";;;"0"
"P";"2011-12-07T18:17:16Z";"-3.090188";"-59.962852";"95.0";"226.6999969482422";"6";"0.9";;;"0"
"P";"2011-12-07T18:17:20Z";"-3.0902";"-59.962895";"94.4000015258789";"261.8999938964844";"6";"0.7";;;"0"
"P";"2011-12-07T18:17:27Z";"-3.090169";"-59.962931";"89.5999984741211";"261.8999938964844";"4";"0.4";;;"0"
"P";"2011-12-07T18:17:31Z";"-3.090112";"-59.962954";"85.5";"261.8999938964844";"4";"0.6";;;"0"
"P";"2011-12-07T18:17:35Z";"-3.09006";"-59.962942";"84.80000305175781";"349.70001220703125";"4";"0.9";;;"0"
"P";"2011-12-07T18:17:40Z";"-3.090013";"-59.96293";"82.30000305175781";"349.70001220703125";"4";"0.6";;;"0"
"P";"2011-12-07T18:17:51Z";"-3.089959";"-59.962908";"78.30000305175781";"357.20001220703125";"4";"1";;;"0"
"P";"2011-12-07T18:17:58Z";"-3.089902";"-59.962868";"75.5";"23.399999618530273";"4";"1";;;"0"
"P";"2011-12-07T18:18:01Z";"-3.089853";"-59.962852";"74.5";"19.200000762939453";"4";"1.2";;;"0"
"P";"2011-12-07T18:18:06Z";"-3.089801";"-59.962842";"74.5999984741211";"19.700000762939453";"4";"1";;;"0"
"P";"2011-12-07T18:18:12Z";"-3.089748";"-59.962849";"74.0999984741211";"358.3999938964844";"4";"0.6";;;"0"
"P";"2011-12-07T18:18:18Z";"-3.089698";"-59.962844";"74.0";"358.3999938964844";"4";"0.6";;;"0"
"P";"2011-12-07T18:18:20Z";"-3.089649";"-59.96286";"74.19999694824219";"8.0";"4";"0.8";;;"0"
"P";"2011-12-07T18:18:24Z";"-3.089618";"-59.962901";"73.5999984741211";"8.0";"4";"0.6";;;"0"
"P";"2011-12-07T18:18:30Z";"-3.089594";"-59.962953";"74.0999984741211";"8.0";"4";"0.6";;;"0"
"P";"2011-12-07T18:18:36Z";"-3.08958";"-59.963";"73.30000305175781";"8.0";"6";"0.5";;;"0"
"P";"2011-12-07T18:18:41Z";"-3.089586";"-59.963056";"72.9000015258789";"258.1000061035156";"6";"1";;;"0"
"P";"2011-12-07T18:18:46Z";"-3.089557";"-59.963099";"74.5";"256.29998779296875";"4";"0.6";;;"0"
"P";"2011-12-07T18:18:50Z";"-3.089553";"-59.963153";"76.9000015258789";"263.1000061035156";"4";"1";;;"0"
"P";"2011-12-07T18:18:54Z";"-3.089521";"-59.963202";"78.5";"273.29998779296875";"6";"0.9";;;"0"
"P";"2011-12-07T18:19:01Z";"-3.089526";"-59.963254";"79.30000305175781";"271.29998779296875";"6";"0.7";;;"0"
"P";"2011-12-07T18:19:06Z";"-3.08948";"-59.963296";"81.0";"271.29998779296875";"4";"0.6";;;"0"
"P";"2011-12-07T18:19:10Z";"-3.089455";"-59.963343";"80.69999694824219";"282.20001220703125";"6";"0.6";;;"0"
"P";"2011-12-07T18:19:12Z";"-3.089463";"-59.96339";"81.5999984741211";"260.3999938964844";"6";"0.8";;;"0"
"P";"2011-12-07T18:19:17Z";"-3.089442";"-59.96343";"81.80000305175781";"277.70001220703125";"6";"0.5";;;"0"
"P";"2011-12-07T18:19:21Z";"-3.089443";"-59.96348";"83.0";"277.70001220703125";"4";"0.7";;;"0"
"P";"2011-12-07T18:19:26Z";"-3.089428";"-59.963531";"82.69999694824219";"287.70001220703125";"4";"0.7";;;"0"
"P";"2011-12-07T18:19:33Z";"-3.089412";"-59.963603";"85.0";"287.70001220703125";"4";"0.7";;;"0"
"P";"2011-12-07T18:19:37Z";"-3.089409";"-59.963648";"85.5";"264.1000061035156";"4";"0.6";;;"0"
"P";"2011-12-07T18:19:43Z";"-3.0894";"-59.963694";"84.5";"256.70001220703125";"4";"0.7";;;"0"
"P";"2011-12-07T18:19:47Z";"-3.089391";"-59.963739";"86.9000015258789";"249.5";"4";"1";;;"0"
"P";"2011-12-07T18:19:52Z";"-3.089367";"-59.96378";"88.19999694824219";"260.70001220703125";"4";"0.6";;;"0"
"P";"2011-12-07T18:19:57Z";"-3.089366";"-59.963833";"88.19999694824219";"264.70001220703125";"4";"0.7";;;"0"
"P";"2011-12-07T18:20:03Z";"-3.08934";"-59.96387";"86.9000015258789";"264.70001220703125";"4";"0.5";;;"0"
"P";"2011-12-07T18:20:11Z";"-3.089304";"-59.963899";"85.0999984741211";"264.70001220703125";"6";"0.4";;;"0"
"P";"2011-12-07T18:20:25Z";"-3.089306";"-59.96396";"83.9000015258789";"264.70001220703125";"8";"0.5";;;"0"
"P";"2011-12-07T18:20:28Z";"-3.089321";"-59.964004";"83.30000305175781";"237.39999389648438";"8";"0.6";;;"0"
"P";"2011-12-07T18:20:38Z";"-3.089269";"-59.964035";"84.0";"237.39999389648438";"12";"0.5";;;"0"
"P";"2011-12-07T18:20:43Z";"-3.089299";"-59.964097";"82.0999984741211";"237.39999389648438";"12";"0.2";;;"0"
"P";"2011-12-07T18:20:49Z";"-3.089295";"-59.964164";"81.0999984741211";"237.39999389648438";"8";"0.7";;;"0"
"P";"2011-12-07T18:20:52Z";"-3.089314";"-59.964219";"80.80000305175781";"237.39999389648438";"8";"0.6";;;"0"
"P";"2011-12-07T18:20:56Z";"-3.089305";"-59.964264";"80.5999984741211";"237.39999389648438";"12";"0.4";;;"0"
"P";"2011-12-07T18:21:00Z";"-3.089297";"-59.964319";"80.30000305175781";"237.39999389648438";"12";"0.5";;;"0"
"P";"2011-12-07T18:21:02Z";"-3.089246";"-59.964322";"79.5";"237.39999389648438";"12";"0.6";;;"0"
"P";"2011-12-07T18:21:07Z";"-3.089185";"-59.964325";"78.69999694824219";"353.5";"12";"0.6";;;"0"
"P";"2011-12-07T18:21:10Z";"-3.089135";"-59.964329";"78.0999984741211";"6.800000190734863";"12";"0.8";;;"0"
"P";"2011-12-07T18:21:13Z";"-3.089096";"-59.964365";"77.5999984741211";"349.5";"16";"0.9";;;"0"
"P";"2011-12-07T18:21:15Z";"-3.08905";"-59.964385";"77.0";"352.1000061035156";"12";"0.8";;;"0"
"P";"2011-12-07T18:21:19Z";"-3.089013";"-59.964423";"76.30000305175781";"352.1000061035156";"8";"0.3";;;"0"
"P";"2011-12-07T18:21:25Z";"-3.088986";"-59.964461";"80.30000305175781";"352.1000061035156";"6";"0.2";;;"0"
"P";"2011-12-07T18:21:32Z";"-3.088936";"-59.964461";"81.0999984741211";"352.1000061035156";"6";"0.3";;;"0"
"P";"2011-12-07T18:21:35Z";"-3.088891";"-59.964438";"80.4000015258789";"16.399999618530273";"6";"0.7";;;"0"
"P";"2011-12-07T18:21:39Z";"-3.088841";"-59.964394";"81.0";"37.20000076293945";"8";"0.8";;;"0"
"P";"2011-12-07T18:21:41Z";"-3.088794";"-59.964395";"80.69999694824219";"18.299999237060547";"8";"0.8";;;"0"
"P";"2011-12-07T18:21:44Z";"-3.088752";"-59.96442";"79.9000015258789";"14.5";"8";"0.5";;;"0"
"P";"2011-12-07T18:21:46Z";"-3.088698";"-59.964429";"79.19999694824219";"14.5";"8";"0.6";;;"0"
"P";"2011-12-07T18:21:52Z";"-3.088647";"-59.964443";"82.19999694824219";"14.5";"6";"0.2";;;"0"
"P";"2011-12-07T18:21:57Z";"-3.088604";"-59.964459";"82.0999984741211";"14.5";"6";"0.3";;;"0"
"P";"2011-12-07T18:22:02Z";"-3.08855";"-59.964451";"82.0";"14.5";"6";"0.7";;;"0"
"P";"2011-12-07T18:22:11Z";"-3.088503";"-59.964448";"83.0";"14.5";"6";"0.4";;;"0"
"P";"2011-12-07T18:22:16Z";"-3.088475";"-59.964395";"84.30000305175781";"14.5";"6";"0.1";;;"0"
"P";"2011-12-07T18:22:17Z";"-3.088453";"-59.964353";"85.0";"14.5";"8";"0.4";;;"0"
"P";"2011-12-07T18:34:23Z";"-3.088502";"-59.964335";"87.80000305175781";"14.5";"16";"0.3";;;"0"
"P";"2011-12-07T18:34:25Z";"-3.088573";"-59.964286";"78.0999984741211";"14.5";"24";"0.5";;;"0"
"P";"2011-12-07T18:34:26Z";"-3.088612";"-59.964259";"75.19999694824219";"14.5";"24";"0.6";;;"0"
"P";"2011-12-07T18:34:28Z";"-3.088679";"-59.96422";"70.0999984741211";"133.5";"24";"0.6";;;"0"
"P";"2011-12-07T18:34:30Z";"-3.08877";"-59.964174";"66.30000305175781";"129.5";"32";"0.8";;;"0"
"P";"2011-12-07T18:34:31Z";"-3.088821";"-59.964154";"64.5999984741211";"135.1999969482422";"32";"0.9";;;"0"
"P";"2011-12-07T18:34:32Z";"-3.088867";"-59.964157";"62.099998474121094";"135.1999969482422";"32";"0.7";;;"0"
"P";"2011-12-07T18:34:33Z";"-3.088922";"-59.964147";"60.099998474121094";"144.89999389648438";"32";"0.7";;;"0"
"P";"2011-12-07T18:34:35Z";"-3.089012";"-59.964104";"58.400001525878906";"128.3000030517578";"32";"0.9";;;"0"
"P";"2011-12-07T18:34:36Z";"-3.0891";"-59.964105";"52.20000076293945";"128.3000030517578";"32";"1";;;"0"
"P";"2011-12-07T18:34:37Z";"-3.089167";"-59.964104";"52.0";"134.10000610351563";"24";"0.9";;;"0"
