"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"2011-12-07 10:14","",
"P","2011-12-07T16:20:12Z","-3.088618","-59.964128","60.099998474121094","95.0","96","0,6",,,"0"
"P","2011-12-07T16:20:13Z","-3.088675","-59.964112","68.9000015258789","95.0","96","0,6",,,"0"
"P","2011-12-07T16:20:18Z","-3.088669","-59.964044","63.70000076293945","121.80000305175781","96","0,6",,,"0"
"P","2011-12-07T16:20:21Z","-3.088695","-59.964004","71.0999984741211","121.80000305175781","96","0,5",,,"0"
"P","2011-12-07T16:20:28Z","-3.088706","-59.963954","70.5999984741211","121.80000305175781","96","0,5",,,"0"
"P","2011-12-07T16:20:35Z","-3.088753","-59.963922","79.30000305175781","121.80000305175781","64","0,3",,,"0"
"P","2011-12-07T16:20:36Z","-3.088718","-59.963891","73.5","121.80000305175781","64","0,6",,,"0"
"P","2011-12-07T16:20:42Z","-3.088758","-59.963935","72.69999694824219","121.80000305175781","64","0,5",,,"0"
"P","2011-12-07T16:20:47Z","-3.088804","-59.963924","74.69999694824219","121.80000305175781","64","0,4",,,"0"
"P","2011-12-07T16:20:50Z","-3.088856","-59.963853","75.5","108.80000305175781","64","0",,,"0"
"P","2011-12-07T16:20:57Z","-3.088811","-59.963828","75.19999694824219","108.80000305175781","64","0",,,"0"
"P","2011-12-07T16:21:36Z","-3.088801","-59.963771","80.19999694824219","108.80000305175781","64","0",,,"0"
"P","2011-12-07T16:21:43Z","-3.08884","-59.963845","83.0","248.10000610351563","64","0,8",,,"0"
"P","2011-12-07T16:21:50Z","-3.088868","-59.963891","81.69999694824219","248.10000610351563","64","0,7",,,"0"
"P","2011-12-07T16:21:56Z","-3.088828","-59.963916","80.4000015258789","248.10000610351563","64","0,7",,,"0"
"P","2011-12-07T16:21:59Z","-3.08876","-59.963902","78.80000305175781","347.70001220703125","64","0,9",,,"0"
"P","2011-12-07T16:22:03Z","-3.088716","-59.963873","77.80000305175781","44.400001525878906","64","0,8",,,"0"
"P","2011-12-07T16:22:12Z","-3.088738","-59.963912","77.5","0.0","96","0",,,"0"
"P","2011-12-07T16:22:15Z","-3.088778","-59.963986","78.80000305175781","253.10000610351563","64","0,7",,,"0"
"P","2011-12-07T16:22:16Z","-3.088787","-59.964046","80.5","260.3999938964844","64","1,1",,,"0"
"P","2011-12-07T16:22:19Z","-3.088793","-59.964094","80.5","264.70001220703125","64","1,1",,,"0"
"P","2011-12-07T16:22:22Z","-3.088784","-59.964153","80.19999694824219","267.20001220703125","64","1,1",,,"0"
"P","2011-12-07T16:22:29Z","-3.088809","-59.964203","82.9000015258789","258.3999938964844","64","0,7",,,"0"
"P","2011-12-07T16:22:34Z","-3.088821","-59.964252","83.30000305175781","262.6000061035156","64","0,7",,,"0"
"P","2011-12-07T16:22:44Z","-3.088834","-59.964318","84.80000305175781","262.8999938964844","64","0,8",,,"0"
"P","2011-12-07T16:22:47Z","-3.088835","-59.96437","83.5999984741211","277.79998779296875","64","1,3",,,"0"
"P","2011-12-07T16:22:51Z","-3.08879","-59.964392","83.4000015258789","0.0","64","0",,,"0"
"P","2011-12-07T16:22:55Z","-3.088761","-59.964427","82.0999984741211","273.3999938964844","64","0,5",,,"0"
"P","2011-12-07T16:22:59Z","-3.088773","-59.964377","82.30000305175781","0.0","64","0",,,"0"
"P","2011-12-07T16:23:06Z","-3.088812","-59.964353","82.5999984741211","0.0","64","0",,,"0"
"P","2011-12-07T16:23:26Z","-3.088857","-59.964331","82.69999694824219","0.0","192","0",,,"0"
"P","2011-12-07T16:23:27Z","-3.08883","-59.964382","82.69999694824219","0.0","128","0",,,"0"
"P","2011-12-07T16:23:31Z","-3.088818","-59.964337","82.5999984741211","0.0","128","0",,,"0"
"P","2011-12-07T16:23:35Z","-3.088845","-59.964294","81.80000305175781","0.0","128","0",,,"0"
"P","2011-12-07T16:23:40Z","-3.088802","-59.964333","82.4000015258789","134.60000610351563","96","0",,,"0"
"P","2011-12-07T16:26:23Z","-3.088775","-59.964371","81.5","0.0","64","0",,,"0"
"P","2011-12-07T16:27:24Z","-3.08878","-59.964462","83.0999984741211","0.0","96","0",,,"0"
"P","2011-12-07T16:27:25Z","-3.08875","-59.964557","83.19999694824219","0.0","96","0",,,"0"
"P","2011-12-07T16:27:26Z","-3.08874","-59.964636","83.19999694824219","0.0","96","0",,,"0"
"P","2011-12-07T16:27:27Z","-3.088751","-59.964709","86.0999984741211","248.1999969482422","96","1,4",,,"0"
"P","2011-12-07T16:27:28Z","-3.088751","-59.964757","86.0999984741211","248.1999969482422","96","0",,,"0"
"P","2011-12-07T16:27:35Z","-3.088796","-59.964774","86.4000015258789","0.0","96","0",,,"0"
"P","2011-12-07T16:27:45Z","-3.088838","-59.964795","87.69999694824219","0.0","128","0",,,"0"
"P","2011-12-07T16:28:00Z","-3.088881","-59.964807","88.80000305175781","0.0","192","0",,,"0"
"P","2011-12-07T16:28:29Z","-3.088921","-59.964829","90.0","0.0","192","0",,,"0"
"P","2011-12-07T16:28:40Z","-3.088965","-59.96484","97.4000015258789","248.1999969482422","64","0",,,"0"
"P","2011-12-07T16:28:44Z","-3.08901","-59.964862","106.69999694824219","248.1999969482422","64","0",,,"0"
"P","2011-12-07T16:28:50Z","-3.089178","-59.964831","141.0","248.1999969482422","48","0",,,"0"
"P","2011-12-07T16:28:51Z","-3.089262","-59.964807","158.1999969482422","248.1999969482422","32","0",,,"0"
"P","2011-12-07T16:28:53Z","-3.089327","-59.96479","171.3000030517578","248.1999969482422","32","0",,,"0"
"P","2011-12-07T16:28:59Z","-3.089356","-59.964834","171.89999389648438","248.1999969482422","32","0",,,"0"
"P","2011-12-07T16:29:01Z","-3.089335","-59.964928","160.89999389648438","248.1999969482422","32","0",,,"0"
"P","2011-12-07T16:29:02Z","-3.089325","-59.964976","154.6999969482422","248.1999969482422","48","0",,,"0"
"P","2011-12-07T16:29:04Z","-3.089325","-59.965037","148.8000030517578","248.1999969482422","48","0",,,"0"
"P","2011-12-07T16:29:06Z","-3.089334","-59.965084","146.1999969482422","248.1999969482422","48","0",,,"0"
"P","2011-12-07T16:29:08Z","-3.089359","-59.965128","145.8000030517578","248.1999969482422","64","0",,,"0"
"P","2011-12-07T16:29:15Z","-3.089406","-59.965117","143.6999969482422","248.1999969482422","48","0",,,"0"
"P","2011-12-07T16:30:42Z","-3.089445","-59.965139","147.39999389648438","248.1999969482422","96","0",,,"0"
"P","2011-12-07T16:31:26Z","-3.089484","-59.965205","145.1999969482422","0.0","96","0",,,"0"
"P","2011-12-07T16:31:28Z","-3.089546","-59.965259","143.8000030517578","0.0","96","0",,,"0"
"P","2011-12-07T16:31:35Z","-3.089599","-59.965271","140.89999389648438","0.0","96","0",,,"0"
"P","2011-12-07T16:34:17Z","-3.089643","-59.965278","136.89999389648438","248.1999969482422","48","0",,,"0"
"P","2011-12-07T16:36:17Z","-3.089637","-59.965324","138.5","248.1999969482422","64","0",,,"0"
"P","2011-12-07T16:44:10Z","-3.089714","-59.965326","133.3000030517578","248.1999969482422","8","0,4",,,"0"
"P","2011-12-07T16:44:12Z","-3.089779","-59.96533","132.5","248.1999969482422","12","0,5",,,"0"
"P","2011-12-07T16:44:15Z","-3.089816","-59.965367","129.60000610351563","248.1999969482422","24","0,5",,,"0"
